species,strain_1,strain_2
escherichia_coli,NZ_CP011124,NZ_CP011495
escherichia_coli,NZ_CP007592,NZ_CP010177
escherichia_coli,NC_017663,NZ_CP010150
escherichia_coli,NZ_CP010183,NZ_CP014348
escherichia_coli,NC_017628,NZ_CP009166
escherichia_coli,NZ_CP010134,NZ_CP017669
escherichia_coli,NZ_CP007592,NZ_CP015138
escherichia_coli,NC_008563,NZ_CP010150
escherichia_coli,NZ_CP010134,NZ_CP012633
escherichia_coli,NZ_CP010150,NZ_CP013253
escherichia_coli,NZ_CP010167,NZ_CP015912
escherichia_coli,NZ_CP014316,NZ_CP018983
escherichia_coli,NC_008563,NZ_CP011124
escherichia_coli,NZ_CP017440,NZ_CP017669
escherichia_coli,NZ_CP009166,NZ_CP018252
escherichia_coli,NZ_CP007442,NZ_CP018983
escherichia_coli,NZ_CP007799,NZ_CP014316
escherichia_coli,NC_018650,NZ_CP018983
escherichia_coli,NZ_CP011124,NZ_CP017440
escherichia_coli,NZ_CP010171,NZ_HG738867
escherichia_coli,NZ_CP010167,NZ_CP014488
escherichia_coli,NZ_CP017249,NZ_CP017440
escherichia_coli,NC_008563,NZ_CP010171
escherichia_coli,NZ_CP007392,NZ_CP017440
escherichia_coli,NZ_CP007392,NZ_CP010148
escherichia_coli,NZ_CP012635,NZ_CP017251
escherichia_coli,NZ_CP010133,NZ_CP011495
escherichia_coli,NZ_CP011320,NZ_CP013662
escherichia_coli,NZ_CP018252,NZ_CP018983
escherichia_coli,NZ_CP010235,NZ_CP011320
escherichia_coli,NZ_CP010148,NZ_CP014316
escherichia_coli,NZ_CP010167,NZ_CP012869
escherichia_coli,NZ_CP018252,NZ_CP020048
escherichia_coli,NZ_CP011495,NZ_CP012631
escherichia_coli,NC_008563,NZ_CP013253
escherichia_coli,NZ_CP007799,NZ_CP012633
escherichia_coli,NZ_CP010169,NZ_CP017669
escherichia_coli,NZ_CP007392,NZ_CP015912
escherichia_coli,NZ_CP007592,NZ_CP010235
escherichia_coli,NZ_CP010167,NZ_CP011124
escherichia_coli,NZ_CP010585,NZ_CP011320
escherichia_coli,NZ_CP007799,NZ_CP010167
escherichia_coli,NZ_CP014316,NZ_LM995446
escherichia_coli,NZ_CP015138,NZ_CP017249
escherichia_coli,NZ_CP010177,NZ_CP012869
escherichia_coli,NC_017663,NZ_CP010167
escherichia_coli,NZ_CP010167,NZ_CP011342
escherichia_coli,NZ_CP010183,NZ_CP017669
escherichia_coli,NZ_CP010816,NZ_CP017669
escherichia_coli,NZ_CP017251,NZ_LM995446
klebsiella_pneumoniae,NZ_CP012992,NZ_CP018692
klebsiella_pneumoniae,NZ_CP011624,NZ_CP016159
klebsiella_pneumoniae,NZ_CP009872,NZ_CP012568
klebsiella_pneumoniae,NZ_CP015382,NZ_CP018458
klebsiella_pneumoniae,NZ_CP011976,NZ_CP015822
klebsiella_pneumoniae,NZ_CP003999,NZ_CP018816
klebsiella_pneumoniae,NZ_CP010361,NZ_CP012568
klebsiella_pneumoniae,NZ_CP010361,NZ_CP011976
klebsiella_pneumoniae,NZ_CP009863,NZ_CP011976
klebsiella_pneumoniae,NZ_CP009461,NZ_CP014755
klebsiella_pneumoniae,NZ_CP013322,NZ_CP015382
klebsiella_pneumoniae,NZ_CP018816,NZ_LN824133
klebsiella_pneumoniae,NZ_CP012568,NZ_CP016159
klebsiella_pneumoniae,NZ_CP018427,NZ_CP018428
klebsiella_pneumoniae,NZ_CP009461,NZ_CP009876
klebsiella_pneumoniae,NZ_CP009872,NZ_CP015822
klebsiella_pneumoniae,NC_018522,NZ_CP015822
klebsiella_pneumoniae,NZ_CP010392,NZ_CP011976
klebsiella_pneumoniae,NZ_CP015822,NZ_CP020067
